Z,N,T_half_sec,DecMode
1,0,infinity,
1,1,infinity,
1,2,3.888E8,B-
1,3,,N
1,4,7.995E-23,2N
1,5,2.848E-22,N
1,6,0,
2,1,infinity,
2,2,infinity,
2,3,7.595E-22,A
2,4,0.807,B-
2,5,3.038E-21,N
2,6,0.119,B-
2,7,,N
2,8,1.519E-21,N
3,1,7.557E-23,P
3,2,3.038E-22,P
3,3,infinity,
3,4,infinity,
3,5,0.84,B-
3,6,0.178,B-
3,7,,N
3,8,0.00875,B-
3,9,1E-8,N
3,10,,
4,1,,P
4,2,4.953E-21,P
4,3,4598208,EC
4,4,8.181E-17,A
4,5,infinity,
4,6,4.765E13,B-
4,7,13.76,BA
4,8,0.0215,B-
4,9,2.7E-21,N
4,10,0.00435,B-
4,11,7.857E-22,N
4,12,5.696E-22,N
5,1,,2P
5,2,3.255E-22,P
5,3,0.77,EC
5,4,8.439E-19,P
5,5,infinity,
5,6,infinity,
5,7,0.0202,B-
5,8,0.0173,B-
5,9,0.0124,B-
5,10,0.0102,B-
5,11,1.9E-10,N
5,12,0.00508,B-
5,13,2.6E-8,N
5,14,0.00292,B-
5,15,,
5,16,,
6,2,1.981E-21,P
6,3,0.127,EC
6,4,19.308,EC
6,5,1221.84,EC
6,6,infinity,
6,7,infinity,
6,8,1.799E11,B-
6,9,2.449,B-
6,10,0.747,B-
6,11,0.191,B-
6,12,0.092,B-
6,13,0.0462,B-
6,14,0.0162,B-
6,15,3.0000000000000004E-8,N
6,16,0.0061,B-
6,17,,
7,3,,P
7,4,5.49E-22,P
7,5,0.011,EC
7,6,597.9,EC
7,7,infinity,
7,8,infinity,
7,9,7.13,B-
7,10,4.171,B-
7,11,0.619,B-
7,12,0.336,B-
7,13,0.136,B-
7,14,0.0848,B-
7,15,0.0195,B-
7,16,0.0141,B-
7,17,5.2E-8,N
7,18,,
8,4,1.139E-21,P
8,5,0.00858,EC
8,6,70.62,EC
8,7,122.24,EC
8,8,infinity,
8,9,infinity,
8,10,infinity,
8,11,26.88,B-
8,12,13.51,B-
8,13,3.42,B-
8,14,2.25,B-
8,15,0.097,B-
8,16,0.072,B-
8,17,6.3E-21,N
8,18,4.5E-12,
8,19,2.6E-7,N
8,20,1.0000000000000001E-7,N
9,5,5.00769E-22,P
9,6,6.905E-22,P
9,7,1.139E-20,P
9,8,64.49,EC
9,9,6586.2,EC
9,10,infinity,
9,11,11.07,B-
9,12,4.158,B-
9,13,4.23,B-
9,14,2.23,B-
9,15,0.382,B-
9,16,0.08,B-
9,17,0.0082,B-
9,18,0.005,B-
9,19,4.6E-20,N
9,20,0.00267,B-
9,21,,N
9,22,,B-
10,6,9E-21,2P
10,7,0.109,EC
10,8,1.667,EC
10,9,17.22,EC
10,10,infinity,
10,11,infinity,
10,12,infinity,
10,13,37.24,B-
10,14,202.8,B-
10,15,0.602,B-
10,16,0.197,B-
10,17,0.0315,B-
10,18,0.02,B-
10,19,0.015,B-
10,20,0.00739,B-
10,21,0.0034,B-
10,22,0.0035,B-
10,23,1.8E-7,N
10,24,6.000000000000001E-8,B-
11,7,1.3E-21,P
11,8,4E-8,P
11,9,0.448,EC
11,10,22.49,EC
11,11,8.211E7,EC
11,12,infinity,
11,13,53989.2,B-
11,14,59.1,B-
11,15,1.0713,B-
11,16,0.301,B-
11,17,0.0305,B-
11,18,0.0441,B-
11,19,0.048,B-
11,20,0.0174,B-
11,21,0.0132,B-
11,22,0.0081,B-
11,23,0.005,B-
11,24,0.0018,B-
11,25,1.8E-7,N
11,26,,B-
12,7,4E-12,2P
12,8,0.0908,EC
12,9,0.122,EC
12,10,3.876,EC
12,11,11.317,EC
12,12,infinity,
12,13,infinity,
12,14,infinity,
12,15,567.48,B-
12,16,75294,B-
12,17,1.3,B-
12,18,0.317,B-
12,19,0.236,B-
12,20,0.086,B-
12,21,0.0894,B-
12,22,0.02,B-
12,23,0.0113,B-
12,24,0.0058,B-
12,25,0.008,B-
12,26,,B-
12,27,1.8E-7,N
12,28,,B-
13,8,3.5E-8,P
13,9,0.0911,EC
13,10,0.47,EC
13,11,2.053,EC
13,12,7.183,EC
13,13,2.263E13,EC
13,14,infinity,
13,15,134.7,B-
13,16,393.6,B-
13,17,3.62,B-
13,18,0.644,B-
13,19,0.0319,B-
13,20,0.0417,B-
13,21,0.0563,B-
13,22,0.0376,B-
13,23,0.094,B-
13,24,0.0107,B-
13,25,0.0076,B-
13,26,0.0076,B-
13,27,,B-
13,28,,B-
13,29,,B-
13,30,,B-
14,8,0.029,EC
14,9,0.0423,EC
14,10,0.141,EC
14,11,0.22,EC
14,12,2.245,EC
14,13,4.15,EC
14,14,infinity,
14,15,infinity,
14,16,infinity,
14,17,9441.6,B-
14,18,4.828E9,B-
14,19,6.11,B-
14,20,2.77,B-
14,21,0.78,B-
14,22,0.45,B-
14,23,0.09,B-
14,24,0.095,B-
14,25,0.0475,B-
14,26,0.033,B-
14,27,0.02,B-
14,28,0.0125,B-
14,29,,B-
14,30,,B-
15,9,,P
15,10,3.0000000000000004E-8,P
15,11,0.0437,E2
15,12,0.26,EC
15,13,0.27,EA
15,14,4.142,EC
15,15,149.88,EC
15,16,infinity,
15,17,1232755.2,B-
15,18,2190240,B-
15,19,12.43,B-
15,20,47.3,B-
15,21,5.6,B-
15,22,2.31,B-
15,23,0.64,B-
15,24,0.28,B-
15,25,0.15,B-
15,26,0.101,B-
15,27,0.0485,B-
15,28,0.0365,B-
15,29,0.0185,B-
15,30,2.0000000000000002E-7,B-
15,31,2.0000000000000002E-7,B-
16,10,7.9E-8,
16,11,0.0155,EC
16,12,0.125,EC
16,13,0.188,EC
16,14,1.178,EC
16,15,2.553,EC
16,16,infinity,
16,17,infinity,
16,18,infinity,
16,19,7548768,B-
16,20,infinity,
16,21,303,B-
16,22,10218,B-
16,23,11.5,B-
16,24,8.8,B-
16,25,2.6,B-
16,26,1.03,B-
16,27,0.273,B-
16,28,0.1,B-
16,29,0.068,B-
16,30,0.05,B-
16,31,,B-
16,32,2.0000000000000002E-7,B-
16,33,2.0000000000000002E-7,N
17,11,,
17,12,2E-8,P
17,13,3.0000000000000004E-8,P
17,14,0.19,EC
17,15,0.298,EC
17,16,2.511,EC
17,17,1.526,EC
17,18,infinity,
17,19,9.499E12,B-
17,20,infinity,
17,21,2234.4,B-
17,22,3372,B-
17,23,81,B-
17,24,38.4,B-
17,25,6.8,B-
17,26,3.175,B-
17,27,0.65,B-
17,28,0.4,B-
17,29,0.232,B-
17,30,0.101,B-
17,31,2.0000000000000002E-7,B-
17,32,1.7E-7,B-
17,33,6.2E-7,B-
17,34,2.0000000000000002E-7,B-
18,12,,P
18,13,0.0144,E2P
18,14,0.098,EC
18,15,0.173,EC
18,16,0.845,EC
